index,name,date,ageY,ageD,location,team,opponent,gameResult,margin,started,minutesPlayed,fg,fga,fg3,fg3a,fg3pct,ft,fta,ftpct,orb,drb,trb,assists,steals,blocks,turnovers,personalFouls,points,gameScore,plusMinus
44,LeBron James,2004-02-03,19,035,@,CLE,DET,W,+3,1,38.00,5,19,0,1,.000,2,2,1.000,1,3,4,6,2,0,1,2,12,6.7,-1
45,LeBron James,2004-02-04,19,036,0,CLE,LAL,L,-5,1,43.00,12,26,4,4,1.000,4,5,.800,0,4,4,4,0,0,0,0,32,22.2,-2
46,LeBron James,2004-02-06,19,038,@,CLE,MIN,L,-11,1,44.00,6,18,1,3,.333,1,4,.250,1,8,9,5,0,0,3,2,14,5.4,-16
47,LeBron James,2004-02-07,19,039,0,CLE,WAS,L,-18,1,34.00,6,16,0,0,0,2,2,1.000,0,0,0,6,4,1,3,2,14,10.3,-24
48,LeBron James,2004-02-09,19,041,0,CLE,BOS,W,+8,1,43.00,9,25,1,6,.167,5,6,.833,0,6,6,3,2,1,1,3,24,14.1,+19
49,LeBron James,2004-02-11,19,043,0,CLE,NJN,L,-20,1,29.00,2,13,0,1,.000,5,5,1.000,1,1,2,5,1,0,5,0,9,1.2,-12
50,LeBron James,2004-02-18,19,050,0,CLE,DAL,L,-16,1,34.00,6,12,0,0,0,4,4,1.000,2,2,4,9,0,1,5,2,16,13.2,-15
51,LeBron James,2004-02-20,19,052,0,CLE,SAS,W,+2,1,39.00,14,23,0,0,0,4,4,1.000,2,9,11,2,2,1,2,0,32,27.7,+3
52,LeBron James,2004-02-22,19,054,@,CLE,NYK,W,+6,1,44.00,7,20,0,0,0,8,12,.667,1,4,5,3,1,0,1,2,22,12.4,+11
53,LeBron James,2004-02-23,19,055,0,CLE,NOH,W,+4,1,36.00,7,16,1,5,.200,6,6,1.000,0,4,4,6,2,5,1,3,21,21.3,+4
54,LeBron James,2004-02-25,19,057,@,CLE,HOU,L,-6,1,39.00,5,18,0,2,.000,1,3,.333,2,5,7,5,2,1,2,1,11,6.3,-5
55,LeBron James,2004-02-27,19,059,@,CLE,ORL,W,+5,1,49.00,11,19,1,1,1.000,7,8,.875,1,10,11,3,3,1,5,1,30,24.8,+7
56,LeBron James,2004-03-01,19,062,@,CLE,CHI,L,-11,1,41.00,7,17,0,2,.000,4,6,.667,0,3,3,3,4,1,3,2,18,12.0,-4
57,LeBron James,2004-03-03,19,064,0,CLE,ATL,W,+32,1,28.00,9,17,1,2,.500,5,6,.833,1,6,7,3,1,1,1,0,24,20.6,+22
58,LeBron James,2004-03-05,19,066,@,CLE,NOH,W,+3,1,37.00,7,17,2,2,1.000,3,4,.750,2,4,6,4,2,0,4,5,19,10.9,+1
59,LeBron James,2004-03-06,19,067,0,CLE,MIL,W,+9,1,43.00,11,24,0,3,.000,2,3,.667,2,5,7,10,4,1,2,3,24,22.6,+9
60,LeBron James,2004-03-08,19,069,@,CLE,ATL,W,+6,1,45.00,11,23,1,4,.250,11,13,.846,2,4,6,7,1,0,2,1,34,27.6,+11
61,LeBron James,2004-03-10,19,071,@,CLE,TOR,W,+14,1,34.00,4,13,0,0,0,6,7,.857,1,2,3,4,1,0,2,2,14,8.4,+16
62,LeBron James,2004-03-14,19,075,0,CLE,IND,W,+3,1,44.00,12,22,0,2,.000,2,4,.500,0,3,3,4,3,1,4,3,26,16.8,+5
63,LeBron James,2004-03-16,19,077,0,CLE,CHI,W,+24,1,32.00,5,16,2,3,.667,5,8,.625,3,2,5,8,0,5,4,1,17,14.0,+24
64,LeBron James,2004-03-19,19,080,0,CLE,UTA,L,-9,1,33.00,4,14,0,2,.000,6,10,.600,0,0,0,7,2,1,2,3,14,8.6,-2
65,LeBron James,2004-03-21,19,082,0,CLE,DET,L,-20,1,36.00,5,17,1,4,.250,4,5,.800,2,5,7,3,0,2,4,4,15,5.5,-21
66,LeBron James,2004-03-23,19,084,0,CLE,PHO,L,-17,1,42.00,8,21,2,5,.400,7,9,.778,1,1,2,6,3,1,5,0,25,16.6,-12
67,LeBron James,2004-03-26,19,087,@,CLE,PHI,L,-15,1,33.00,5,13,1,2,.500,5,9,.556,2,1,3,7,0,1,5,1,16,9.2,-24
68,LeBron James,2004-03-27,19,088,0,CLE,NJN,W,+3,1,43.00,15,29,1,2,.500,10,10,1.000,2,4,6,13,3,0,2,1,41,39.0,+10
69,LeBron James,2004-03-29,19,090,@,CLE,SAS,L,-8,1,32.00,9,20,0,1,.000,0,0,0,0,2,2,4,0,1,2,0,18,9.7,-14
70,LeBron James,2004-03-30,19,091,@,CLE,DAL,L,-17,1,42.00,13,22,0,2,.000,2,4,.500,1,4,5,6,4,0,3,2,28,23.3,-10
71,LeBron James,2004-04-02,19,094,@,CLE,MIL,L,-18,1,36.00,9,19,0,0,0,2,2,1.000,0,7,7,7,5,0,5,3,20,16.1,-13
72,LeBron James,2004-04-03,19,095,0,CLE,GSW,L,-3,1,46.00,12,28,3,5,.600,7,11,.636,3,5,8,10,1,1,3,1,34,26.5,-3
73,LeBron James,2004-04-06,19,098,0,CLE,TOR,L,-1,1,46.00,5,17,0,0,0,11,14,.786,1,5,6,4,3,0,3,2,21,14.1,+2
74,LeBron James,2004-04-07,19,099,@,CLE,MEM,L,-18,1,36.00,4,11,0,0,0,6,7,.857,0,3,3,5,3,0,2,4,14,11.3,-11
75,LeBron James,2004-04-09,19,101,@,CLE,MIA,L,-15,1,42.00,6,14,1,1,1.000,11,15,.733,1,6,7,8,1,0,8,2,24,15.3,-16
76,LeBron James,2004-04-10,19,102,0,CLE,MIA,W,+11,1,32.00,4,11,0,2,.000,2,5,.400,1,2,3,11,0,0,2,3,10,8.5,+14
77,LeBron James,2004-04-12,19,104,0,CLE,MIL,W,+4,1,45.00,9,20,1,4,.250,8,11,.727,1,6,7,9,2,0,1,1,27,24.8,+11
78,LeBron James,2004-04-14,19,106,@,CLE,NYK,W,+10,1,35.00,8,17,0,3,.000,1,1,1.000,0,1,1,5,3,0,5,1,17,9.7,-6
79,LeBron James,2004-11-03,19,309,0,CLE,IND,L,-5,1,50.00,8,19,2,5,.400,10,12,.833,1,4,5,8,1,3,6,2,28,20.9,-10
80,LeBron James,2004-11-04,19,310,@,CLE,MIA,L,-6,1,43.00,9,22,2,3,.667,1,1,1.000,3,3,6,8,1,0,1,0,21,17.8,-8
81,LeBron James,2004-11-06,19,312,@,CLE,MIL,L,-14,1,42.00,8,20,0,3,.000,15,22,.682,2,6,8,6,3,0,4,0,31,23.8,-12
82,LeBron James,2004-11-09,19,315,@,CLE,ATL,W,+14,1,48.00,8,17,1,4,.250,8,12,.667,1,9,10,4,4,2,3,2,25,22.5,+14
83,LeBron James,2004-11-10,19,316,0,CLE,PHO,W,+5,1,48.00,13,24,1,2,.500,11,12,.917,3,7,10,6,3,3,3,1,38,36.1,+14
84,LeBron James,2004-11-13,19,319,0,CLE,WAS,W,+31,1,38.00,10,20,0,3,.000,4,5,.800,1,8,9,4,3,2,4,0,24,19.9,+25
85,LeBron James,2004-11-15,19,321,0,CLE,GSW,W,+11,1,42.00,12,22,3,5,.600,6,8,.750,2,10,12,4,2,1,1,1,33,30.1,+15
86,LeBron James,2004-11-18,19,324,@,CLE,CHA,W,+17,1,30.00,8,14,2,3,.667,1,2,.500,1,5,6,9,0,0,1,3,19,18.3,+21
87,LeBron James,2004-11-20,19,326,0,CLE,CHA,W,+16,1,38.00,11,20,0,2,.000,3,4,.750,5,3,8,2,3,1,7,0,25,17.5,+24
88,LeBron James,2004-11-21,19,327,@,CLE,NYK,L,-10,1,40.00,5,15,1,3,.333,2,3,.667,2,7,9,10,1,1,5,3,13,10.1,+1
89,LeBron James,2004-11-24,19,330,0,CLE,DET,W,+16,1,38.00,15,22,2,3,.667,11,12,.917,3,3,6,5,3,1,3,3,43,39.2,+12
90,LeBron James,2004-11-26,19,332,@,CLE,BOS,W,+2,1,43.00,9,13,0,2,.000,2,3,.667,0,6,6,8,3,1,2,2,20,22.4,+6
91,LeBron James,2004-11-27,19,333,0,CLE,CHI,W,+22,1,32.00,11,17,1,2,.500,3,4,.750,1,6,7,7,1,0,2,0,26,24.5,+25
92,LeBron James,2004-11-29,19,335,@,CLE,LAC,L,-12,1,42.00,9,19,0,2,.000,4,5,.800,1,6,7,5,6,1,3,2,22,20.8,-16
93,LeBron James,2004-12-01,19,337,@,CLE,PHO,L,-19,1,40.00,6,19,0,2,.000,3,4,.750,1,2,3,6,2,1,6,2,15,5.1,-17
94,LeBron James,2004-12-02,19,338,@,CLE,DEN,W,+19,1,41.00,8,17,0,0,0,1,2,.500,1,7,8,9,2,1,5,3,17,13.5,+23
95,LeBron James,2004-12-04,19,340,0,CLE,TOR,W,+8,1,43.00,10,17,1,3,.333,6,7,.857,0,6,6,10,2,1,3,2,27,26.4,+15
96,LeBron James,2004-12-07,19,343,0,CLE,NJN,W,+6,1,46.00,11,22,0,1,.000,5,6,.833,0,2,2,8,3,0,3,4,27,20.2,+6
97,LeBron James,2004-12-08,19,344,@,CLE,CHI,L,-28,1,38.00,5,15,0,2,.000,9,12,.750,0,2,2,6,1,1,4,2,19,11.0,-22
98,LeBron James,2004-12-11,19,347,@,CLE,SAS,L,-19,1,42.00,10,19,1,3,.333,2,2,1.000,3,3,6,10,4,0,3,2,23,23.9,-18
99,LeBron James,2004-12-13,19,349,@,CLE,MEM,W,+6,1,46.00,14,22,1,3,.333,2,4,.500,0,5,5,8,7,0,3,2,31,30.7,+10
100,LeBron James,2004-12-15,19,351,0,CLE,POR,W,+24,1,37.00,10,18,2,3,.667,3,3,1.000,2,9,11,7,3,2,3,1,25,26.4,+18
101,LeBron James,2004-12-16,19,352,@,CLE,DET,L,-12,1,45.00,4,21,0,2,.000,3,5,.600,1,8,9,7,4,1,3,2,11,6.0,-8
102,LeBron James,2004-12-18,19,354,0,CLE,BOS,L,-7,1,40.00,12,25,3,5,.600,4,8,.500,1,4,5,4,3,1,4,6,31,18.7,-1
103,LeBron James,2004-12-21,19,357,0,CLE,MIN,W,+10,1,43.00,10,18,0,1,.000,6,8,.750,0,6,6,12,1,0,2,2,26,25.0,+13
104,LeBron James,2004-12-22,19,358,@,CLE,NJN,L,-2,1,42.00,7,18,1,1,1.000,8,10,.800,1,8,9,9,1,0,4,2,23,18.0,-3
105,LeBron James,2004-12-26,19,362,0,CLE,NOH,W,+9,1,45.00,7,16,0,1,.000,8,9,.889,1,8,9,14,4,1,5,2,22,25.0,+8
106,LeBron James,2004-12-28,19,364,@,CLE,ATL,W,+9,1,46.00,13,25,3,5,.600,11,14,.786,1,8,9,7,1,0,1,2,40,33.7,+8
107,LeBron James,2004-12-29,19,365,0,CLE,HOU,L,-11,1,17.00,0,5,0,1,.000,3,5,.600,0,3,3,5,0,0,0,0,3,3.1,-10
108,LeBron James,2005-01-03,20,004,@,CLE,CHA,W,+11,1,41.00,11,19,0,3,.000,4,6,.667,2,6,8,6,2,0,1,3,26,23.5,+14
109,LeBron James,2005-01-05,20,006,0,CLE,ATL,W,+16,1,40.00,7,14,2,5,.400,4,6,.667,1,5,6,9,1,1,2,4,20,18.8,+10
110,LeBron James,2005-01-08,20,009,0,CLE,NYK,W,+25,1,32.00,10,14,0,0,0,2,2,1.000,1,2,3,4,0,2,8,2,22,12.9,+5
111,LeBron James,2005-01-11,20,012,0,CLE,CHA,W,+2,1,49.00,11,24,2,5,.400,5,7,.714,1,7,8,9,2,1,8,1,29,19.2,+7
112,LeBron James,2005-01-13,20,014,@,CLE,LAL,L,-4,1,44.00,12,26,1,4,.250,3,4,.750,3,10,13,9,1,1,4,1,28,22.9,-1
113,LeBron James,2005-01-15,20,016,@,CLE,UTA,W,+13,1,41.00,9,20,0,1,.000,9,14,.643,1,7,8,5,5,0,3,2,27,22.1,+11
114,LeBron James,2005-01-16,20,017,@,CLE,SEA,L,-8,1,44.00,14,30,3,7,.429,4,6,.667,2,3,5,11,4,1,1,4,35,30.9,-7
115,LeBron James,2005-01-19,20,020,@,CLE,POR,W,+6,1,44.00,11,16,1,1,1.000,4,6,.667,1,10,11,10,4,0,2,4,27,30.5,0
116,LeBron James,2005-01-20,20,021,@,CLE,SAC,L,-27,1,37.00,9,19,0,1,.000,0,1,.000,1,7,8,6,1,0,3,0,18,12.9,-24
117,LeBron James,2005-01-22,20,023,@,CLE,GSW,W,+18,1,43.00,13,24,0,1,.000,2,2,1.000,1,11,12,10,1,1,3,1,28,25.7,+19
118,LeBron James,2005-01-24,20,025,0,CLE,WAS,L,-9,1,48.00,12,26,1,1,1.000,6,10,.600,4,6,10,8,2,1,5,3,31,22.7,-9
119,LeBron James,2005-01-26,20,027,0,CLE,MEM,W,+3,1,42.00,10,16,4,6,.667,3,4,.750,1,8,9,15,3,2,5,1,27,32.0,+7
120,LeBron James,2005-02-01,20,033,@,CLE,ORL,L,-3,1,43.00,10,20,0,3,.000,8,13,.615,2,3,5,7,0,1,3,2,28,20.1,-3
121,LeBron James,2005-02-03,20,035,@,CLE,MIA,L,-12,1,46.00,11,23,1,3,.333,8,12,.667,2,0,2,10,3,0,2,2,31,26.3,-8
122,LeBron James,2005-02-05,20,037,0,CLE,ORL,W,+9,1,45.00,9,21,0,3,.000,12,13,.923,0,6,6,9,2,0,1,2,30,26.8,+10
123,LeBron James,2005-02-08,20,040,0,CLE,TOR,W,+13,1,36.00,6,14,0,3,.000,3,4,.750,1,7,8,11,3,0,2,1,15,18.3,+15
124,LeBron James,2005-02-11,20,043,0,CLE,DEN,L,-5,1,43.00,12,29,1,6,.167,10,12,.833,2,4,6,6,1,0,4,2,35,21.7,-13
125,LeBron James,2005-02-13,20,045,0,CLE,LAL,W,+14,1,46.00,8,20,0,0,0,9,10,.900,2,6,8,9,3,1,3,3,25,22.8,+9
126,LeBron James,2005-02-16,20,048,0,CLE,ATL,W,+22,1,37.00,11,20,2,2,1.000,4,5,.800,0,5,5,6,3,0,3,0,28,23.7,+27
127,LeBron James,2005-02-17,20,049,@,CLE,MIN,L,-6,1,41.00,10,19,1,2,.500,5,6,.833,2,5,7,8,1,0,2,0,26,23.8,-1
128,LeBron James,2005-02-23,20,055,0,CLE,CHI,W,+9,1,44.00,8,17,1,1,1.000,10,15,.667,1,5,6,11,5,0,3,2,27,27.4,+7
129,LeBron James,2005-02-25,20,057,@,CLE,IND,L,-24,1,41.00,9,25,0,1,.000,3,4,.750,3,4,7,5,2,1,2,0,21,14.2,-11
130,LeBron James,2005-02-27,20,059,@,CLE,NJN,L,-6,1,45.00,9,20,1,2,.500,9,10,.900,1,3,4,7,2,0,5,4,28,19.1,-10
131,LeBron James,2005-02-28,20,060,0,CLE,SAS,L,-2,1,45.00,6,22,1,4,.250,7,10,.700,1,7,8,7,0,0,2,3,20,10.3,+2
132,LeBron James,2005-03-02,20,062,0,CLE,SEA,L,-17,1,41.00,11,20,5,7,.714,5,8,.625,0,5,5,5,0,0,4,2,32,21.4,-7
133,LeBron James,2005-03-04,20,064,@,CLE,PHI,L,-9,1,40.00,12,21,0,1,.000,10,12,.833,1,6,7,7,4,0,6,1,34,28.3,-10
134,LeBron James,2005-03-06,20,066,0,CLE,MIA,L,-20,1,41.00,9,19,0,1,.000,5,7,.714,0,4,4,5,2,0,1,1,23,17.8,-17
135,LeBron James,2005-03-08,20,068,0,CLE,ORL,W,+19,1,40.00,9,22,2,6,.333,3,4,.750,0,7,7,8,1,1,1,3,23,18.0,+18
136,LeBron James,2005-03-13,20,073,0,CLE,IND,W,+12,1,44.00,12,23,1,5,.200,10,11,.909,2,3,5,5,1,0,4,1,35,25.7,+12
137,LeBron James,2005-03-15,20,075,0,CLE,UTA,W,+19,1,35.00,11,15,2,5,.400,12,16,.750,2,7,9,2,0,1,1,1,36,32.5,+22
138,LeBron James,2005-03-16,20,076,@,CLE,MIL,L,-8,1,45.00,13,26,4,9,.444,4,7,.571,1,6,7,6,1,0,5,0,34,22.5,-14
139,LeBron James,2005-03-18,20,078,0,CLE,PHI,L,-12,1,46.00,3,20,0,4,.000,10,12,.833,0,8,8,8,4,0,4,0,16,10.4,-8
140,LeBron James,2005-03-20,20,080,@,CLE,TOR,L,-7,1,48.00,18,36,6,12,.500,14,15,.933,2,8,10,5,2,0,4,0,56,42.9,-7
141,LeBron James,2005-03-22,20,082,0,CLE,DET,W,+15,1,43.00,11,24,2,7,.286,5,8,.625,1,5,6,6,1,0,0,1,29,22.4,+21
142,LeBron James,2005-03-24,20,084,@,CLE,HOU,L,-19,1,42.00,7,22,1,4,.250,4,7,.571,0,4,4,8,1,0,2,1,19,10.6,-17
143,LeBron James,2005-03-26,20,086,@,CLE,DAL,L,-31,1,36.00,7,17,0,2,.000,5,6,.833,1,3,4,6,0,0,3,1,19,11.9,-24
144,LeBron James,2005-03-28,20,088,@,CLE,NOH,W,+1,1,53.00,16,29,3,10,.300,9,11,.818,2,4,6,3,4,0,10,3,44,26.8,+1
145,LeBron James,2005-03-29,20,089,0,CLE,LAC,W,+10,1,41.00,7,20,2,8,.250,6,7,.857,0,7,7,5,2,1,1,0,22,17.7,+11
146,LeBron James,2005-03-31,20,091,@,CLE,CHI,L,-12,1,53.00,10,28,1,4,.250,5,11,.455,4,2,6,7,4,2,3,5,26,16.7,-12
147,LeBron James,2005-04-01,20,092,0,CLE,SAC,L,-19,1,44.00,13,21,2,4,.500,7,10,.700,0,8,8,9,2,0,7,2,35,27.2,-15
148,LeBron James,2005-04-03,20,094,0,CLE,DAL,W,+20,1,48.00,10,23,4,8,.500,13,13,1.000,2,8,10,7,2,1,6,3,37,29.1,+20
149,LeBron James,2005-04-05,20,096,0,CLE,NJN,L,-31,1,40.00,9,19,3,6,.500,3,6,.500,2,7,9,4,2,2,6,2,24,16.0,-21
150,LeBron James,2005-04-06,20,097,@,CLE,IND,L,-21,1,33.00,9,18,0,3,.000,2,4,.500,2,2,4,3,1,0,2,2,20,12.5,-15
151,LeBron James,2005-04-08,20,099,@,CLE,PHI,L,-5,1,48.00,12,30,2,6,.333,11,11,1.000,4,9,13,7,5,0,5,1,37,30.8,-5
152,LeBron James,2005-04-09,20,100,0,CLE,MIL,W,+17,1,47.00,15,26,7,13,.538,3,3,1.000,1,9,10,10,2,1,3,2,40,37.1,+13
153,LeBron James,2005-04-11,20,102,@,CLE,ORL,W,+8,1,48.00,12,23,1,6,.167,8,10,.800,1,6,7,6,5,1,2,4,33,29.7,+8
154,LeBron James,2005-04-14,20,105,0,CLE,NYK,L,-6,1,42.00,7,25,4,13,.308,9,14,.643,1,17,18,7,2,2,4,3,27,19.2,+1
155,LeBron James,2005-04-15,20,106,@,CLE,WAS,L,-8,1,48.00,16,33,1,6,.167,5,8,.625,2,4,6,6,1,0,1,3,38,25.7,-8
156,LeBron James,2005-04-17,20,108,@,CLE,DET,L,-3,1,45.00,12,35,2,7,.286,11,14,.786,3,8,11,6,0,1,1,0,37,24.5,-6
157,LeBron James,2005-04-19,20,110,0,CLE,BOS,W,+14,1,47.00,13,27,2,3,.667,4,5,.800,1,7,8,6,5,0,3,3,32,25.7,+13
158,LeBron James,2005-04-20,20,111,@,CLE,TOR,W,+9,1,48.00,10,23,2,8,.250,5,10,.500,2,12,14,14,0,1,2,1,27,26.0,+9
159,LeBron James,2005-11-02,20,307,0,CLE,NOK,W,+22,1,33.23,9,16,6,7,.857,7,8,.875,1,2,3,4,2,0,3,3,31,24.9,+22
160,LeBron James,2005-11-04,20,309,@,CLE,SAS,L,-26,1,36.34,7,16,0,3,.000,6,7,.857,0,6,6,4,0,1,3,3,20,12.3,-19
161,LeBron James,2005-11-05,20,310,@,CLE,MEM,L,-7,1,40.51,14,29,4,9,.444,4,5,.800,0,2,2,6,2,0,2,2,36,24.9,-3
162,LeBron James,2005-11-07,20,312,@,CLE,TOR,W,+12,1,36.28,9,17,0,2,.000,9,12,.750,0,3,3,6,1,2,1,3,27,22.8,0
163,LeBron James,2005-11-09,20,314,0,CLE,SEA,W,+27,1,35.38,10,18,0,2,.000,11,11,1.000,1,4,5,1,0,1,4,1,31,21.3,+25
164,LeBron James,2005-11-11,20,316,0,CLE,MEM,W,+19,1,25.40,5,11,0,1,.000,6,6,1.000,1,5,6,2,3,1,3,5,16,12.6,+24
